open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1666156800000,8.00080000,8.10000000,7.81460000,8.03120000,435360.00000000,1666157099999,3475444.10325900,8942,238613.63000000,1905108.76746800,0
1666157100000,8.03760000,8.25000000,7.88300000,8.23870000,720163.82000000,1666157399999,5817565.10502000,11145,416175.48000000,3368161.83200100,0
1666157400000,8.23460000,8.23790000,7.98000000,7.99000000,478856.43000000,1666157699999,3878184.29688300,10210,239543.05000000,1939355.62981300,0
1666157700000,7.98970000,7.99000000,7.74330000,7.93060000,432855.94000000,1666157999999,3407968.58718000,10135,231052.20000000,1819349.06767300,0
1666158000000,7.93040000,7.95000000,7.65380000,7.75000000,281055.39000000,1666158299999,2206784.52599800,6279,131723.67000000,1035857.08260400,0
1666158300000,7.75000000,7.79050000,7.56530000,7.61550000,322277.72000000,1666158599999,2474649.62955900,7448,138761.39000000,1066759.69119700,0
1666158600000,7.61850000,7.88000000,7.53000000,7.85000000,291006.70000000,1666158899999,2247612.87430000,6976,165854.91000000,1282687.85096800,0
1666158900000,7.85000000,7.95130000,7.74740000,7.90680000,216686.08000000,1666159199999,1702683.64925700,5195,113239.66000000,890193.04874100,0
1666159200000,7.90380000,7.91020000,7.68000000,7.68000000,184354.05000000,1666159499999,1433431.51453100,4587,57241.36000000,445602.30100600,0
1666159500000,7.68000000,7.75960000,7.66530000,7.71770000,126407.35000000,1666159799999,975747.91252800,3116,60437.88000000,466582.95198300,0
1666159800000,7.72300000,7.74340000,7.58110000,7.60500000,191832.19000000,1666160099999,1465955.22285600,4867,77446.60000000,591779.69012000,0
1666160100000,7.60410000,7.71600000,7.54690000,7.71000000,211591.43000000,1666160399999,1615446.23679400,5212,102030.05000000,779409.74693700,0
1666160400000,7.71050000,7.87000000,7.71000000,7.80660000,219858.06000000,1666160699999,1713170.58385100,4817,125885.97000000,980924.20193900,0
1666160700000,7.80600000,7.88120000,7.73010000,7.73330000,155282.42000000,1666160999999,1211313.63835000,4128,71969.64000000,561629.81272600,0
1666161000000,7.73320000,7.76690000,7.66010000,7.67670000,181548.73000000,1666161299999,1400157.48630400,3657,79695.06000000,614737.05118900,0
1666161300000,7.67930000,7.78000000,7.66380000,7.71400000,140364.20000000,1666161599999,1084738.60777800,3062,62554.33000000,483494.68966000,0
1666161600000,7.71170000,7.75310000,7.63120000,7.74110000,160784.35000000,1666161899999,1235203.72462400,3445,63728.42000000,489373.27236400,0
1666161900000,7.74070000,7.83480000,7.71530000,7.75700000,254358.09000000,1666162199999,1978722.01131500,4779,115889.88000000,901772.50165300,0
1666162200000,7.75770000,7.86940000,7.75000000,7.81120000,212286.30000000,1666162499999,1658159.90318100,4595,119875.88000000,936392.97217300,0
1666162500000,7.81150000,7.85720000,7.75000000,7.75160000,223428.11000000,1666162799999,1743400.51813800,4605,90655.77000000,707681.28527400,0
1666162800000,7.75180000,7.80000000,7.65020000,7.68310000,261122.43000000,1666163099999,2014560.56120800,5356,126124.94000000,973787.76191800,0
1666163100000,7.68570000,7.73240000,7.65630000,7.71800000,139795.44000000,1666163399999,1075286.82244600,2986,72502.20000000,557841.60307100,0
1666163400000,7.71800000,7.72000000,7.53460000,7.59990000,284427.24000000,1666163699999,2166483.97698300,4216,79369.62000000,605030.02724000,0
1666163700000,7.59300000,7.60080000,7.38200000,7.45980000,554808.30000000,1666163999999,4153821.13955300,6422,220770.84000000,1652182.28609400,0
1666164000000,7.46020000,7.54710000,7.44360000,7.54420000,193677.48000000,1666164299999,1449468.98172200,3626,107924.04000000,807700.57315000,0
1666164300000,7.54420000,7.65540000,7.51680000,7.52480000,372855.50000000,1666164599999,2831146.59866900,5641,224465.28000000,1704893.12907300,0
1666164600000,7.53360000,7.55000000,7.43530000,7.44570000,184793.10000000,1666164899999,1385800.68499300,3161,81789.08000000,613509.06767400,0
1666164900000,7.44220000,7.49470000,7.30000000,7.36000000,349595.72000000,1666165199999,2578701.40000500,5966,147304.81000000,1088087.77054000,0
1666165200000,7.35930000,7.47670000,7.35930000,7.43640000,244036.33000000,1666165499999,1812550.24974200,4044,124591.80000000,925400.14470200,0
1666165500000,7.43500000,7.49250000,7.42700000,7.47790000,134416.90000000,1666165799999,1004160.55850800,2494,75258.08000000,562273.07765500,0
1666165800000,7.47780000,7.47890000,7.37780000,7.38720000,248987.80000000,1666166099999,1847952.26496500,2979,101447.86000000,752199.28326100,0
1666166100000,7.38670000,7.56140000,7.38670000,7.52180000,215278.48000000,1666166399999,1609306.12794800,3938,143683.95000000,1073882.73978000,0
1666166400000,7.52130000,7.52600000,7.35680000,7.42150000,312695.45000000,1666166699999,2323900.28488600,5672,138806.36000000,1032121.33109800,0
1666166700000,7.41820000,7.54400000,7.39850000,7.48430000,426338.98000000,1666166999999,3189942.34885100,6154,184392.66000000,1381400.63789000,0
1666167000000,7.48570000,7.48870000,7.31760000,7.35180000,248153.71000000,1666167299999,1837855.19303500,3930,111276.29000000,824568.71284400,0
1666167300000,7.35280000,7.46110000,7.33880000,7.45160000,221820.13000000,1666167599999,1640493.32353100,3044,114466.33000000,846324.91534400,0
1666167600000,7.45780000,7.47420000,7.39570000,7.41350000,92654.61000000,1666167899999,688740.78007300,1550,38248.78000000,284295.66293000,0
1666167900000,7.41240000,7.52000000,7.41240000,7.51670000,218635.51000000,1666168199999,1635915.47494900,2427,122318.12000000,914947.59830600,0
1666168200000,7.51670000,7.68100000,7.49680000,7.67010000,445794.42000000,1666168499999,3393063.43263100,5158,227206.76000000,1728959.05470900,0
1666168500000,7.67100000,7.67930000,7.55000000,7.61730000,211739.19000000,1666168799999,1609527.90755100,2851,88778.96000000,675129.48318200,0
1666168800000,7.61750000,7.66660000,7.58340000,7.60000000,159600.71000000,1666169099999,1218030.99612500,1987,57900.01000000,441874.32067500,0
1666169100000,7.59880000,7.72000000,7.59830000,7.70690000,194778.81000000,1666169399999,1495001.82012700,2936,103694.08000000,795895.44030500,0
1666169400000,7.71230000,8.10380000,7.67270000,7.91600000,662245.12000000,1666169699999,5223862.90328600,7954,333581.73000000,2630470.30548700,0
1666169700000,7.91600000,8.23970000,7.85010000,8.05300000,566651.20000000,1666169999999,4560080.05005700,9257,309721.75000000,2495027.04807400,0
1666170000000,8.05150000,8.14980000,7.88510000,7.92550000,432462.08000000,1666170299999,3471416.30077600,7226,205710.24000000,1651165.75548600,0
1666170300000,7.92550000,7.99370000,7.89000000,7.89420000,115692.24000000,1666170599999,917865.65637500,2683,64754.34000000,514051.66239800,0
